@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
1,73.0,1.0,1,0.03333333333333333,0,0,1,0,0,0,0,0,0,1,1
1,109.0,0.3333333333333333,1,0.0021598272138228943,0,0,1,0,0,0,0,0,0,1,1
4,122.0,0.6666666666666666,1,0.005706134094151213,0,0,1,0,0,0,0,0,0,1,1
1,95.0,0.2,1,0.001277139208173691,0,0,1,0,0,0,0,0,0,1,1
9,47.0,0.28125,1,0.013452914798206279,0,0,0,0,0,0,1,1,0,0,1
4,114.0,0.125,1,0.010610079575596816,0,0,0,0,0,0,1,1,0,0,1
1,71.0,1.0,1,0.011494252873563218,0,1,0,0,0,0,0,1,0,0,1
1,171.0,1.0,1,0.008130081300813009,0,0,1,0,0,0,0,0,0,1,1
1,176.0,0.5,1,0.003952569169960474,0,0,0,1,0,0,0,0,1,0,1
1,83.0,1.0,1,0.2,0,0,1,0,0,0,0,0,0,1,1
2,72.0,1.0,1,1.0,1,0,0,0,0,0,0,0,1,0,1
2,85.0,1.0,1,0.02702702702702703,1,0,0,0,0,0,0,0,1,0,1
1,86.0,0.5,1,0.0125,0,0,1,0,0,0,0,0,0,1,1
1,107.0,1.0,1,0.0049261083743842365,0,0,1,0,0,0,0,0,0,1,1
3,66.0,1.0,1,0.011278195488721804,1,0,0,0,0,0,0,0,1,0,1
2,28.0,0.07407407407407407,1,0.002554278416347382,0,0,1,0,0,0,0,0,0,1,1
2,110.0,0.13333333333333333,1,0.4,0,0,1,0,0,0,0,0,0,1,1
47,28.0,0.13823529411764707,1,0.036776212832550864,0,0,0,0,0,0,1,1,0,0,1
114,25.0,0.3352941176470588,1,0.24,0,0,0,0,0,0,1,1,0,0,1
1,104.0,0.2,1,0.016666666666666666,0,0,0,0,0,0,1,1,0,0,1
10,54.0,0.6666666666666666,1,0.011235955056179775,0,0,1,0,0,0,0,0,0,1,1
1,75.0,0.5,1,0.06666666666666667,0,0,0,0,0,0,1,1,0,0,1
1,75.0,0.5,1,0.06666666666666667,0,0,0,0,0,0,1,1,0,0,1
1,113.0,0.3333333333333333,1,0.016666666666666666,0,0,0,0,0,0,1,1,0,0,1
1,88.0,0.3333333333333333,1,0.011494252873563218,0,0,0,0,0,0,1,1,0,0,1
28,66.0,0.3146067415730337,1,0.11864406779661017,1,0,0,0,0,0,0,0,1,0,1
9,120.0,0.10112359550561797,1,0.06164383561643835,1,0,0,0,0,0,0,0,1,0,1
1,42.0,1.0,1,0.007692307692307693,0,1,0,0,0,0,0,1,0,0,1
3,86.0,0.13636363636363635,1,0.020134228187919462,0,0,0,1,0,0,0,0,1,0,1
2,67.0,0.4,1,0.0125,0,1,0,0,0,0,0,1,0,0,1
