	open	http://dbpedia.org/ontology/gameEngine	open dynamics engine	4	<adj> dynamics engine	NNP NNP NN	<adj> NNP NN	0.38596491228070173	0.008333333333333333	0.0125	0.0028208744710860366	0.0028208744710860366	0.0028208744710860366	pen	0.19999999999999996	1	0	1	0.38596491228070173
	4	http://dbpedia.org/ontology/gameEngine	gran turismo 4	2	gran turismo <adj>	NNP NNP CD	NNP NNP <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.007052186177715092	0.0014104372355430183	0.0014104372355430183	4	0.0714285714285714	0	1	3	0.38596491228070173
	unreal	http://dbpedia.org/ontology/gameEngine	unreal engine	204	<adj> engine	JJ NN	<adj> NNP	0.38596491228070173	0.008333333333333333	0.0125	0.14386459802538787	0.14386459802538787	0.14386459802538787	eal	0.46153846153846156	1	0	1	0.38596491228070173
	3	http://dbpedia.org/ontology/gameEngine	id tech 3	26	id tech <adj>	NN NN CD	NN NN <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.020451339915373765	0.018335684062059238	0.018335684062059238	3	0.11111111111111116	0	1	3	0.38596491228070173
	interactive	http://dbpedia.org/ontology/gameEngine	saber interactive	3	saber <adj>	NNP JJ	NNP <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.005641748942172073	0.0021156558533145277	0.0021156558533145277	ive	0.6470588235294117	0	1	2	0.38596491228070173
	flash	http://dbpedia.org/ontology/gameEngine	adobe flash	26	adobe <adj>	NNP NN	NNP <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.019746121297602257	0.018335684062059238	0.019746121297602257	ash	0.4545454545454546	0	1	2	0.38596491228070173
	crystal	http://dbpedia.org/ontology/gameEngine	crystal tools	6	<adj> tools	NN NNS	<adj> NNS	0.38596491228070173	0.008333333333333333	0.0125	0.004936530324400564	0.004231311706629055	0.004231311706629055	tal	0.5384615384615384	1	0	1	0.38596491228070173
	game	http://dbpedia.org/ontology/gameEngine	rockstar advanced game engine	10	rockstar advanced <adj> engine	NNP VBD NN NN	NNP VBD <adj> NNP	0.38596491228070173	0.008333333333333333	0.0125	0.03737658674188998	0.007052186177715092	0.007052186177715092	ame	0.13793103448275867	0	0	3	0.38596491228070173
	x-ray	http://dbpedia.org/ontology/gameEngine	x-ray engine	3	<adj> engine	NN NN	<adj> NNP	0.38596491228070173	0.008333333333333333	0.0125	0.0021156558533145277	0.0021156558533145277	0.0021156558533145277	ray	0.41666666666666663	1	0	1	0.38596491228070173
	game	http://dbpedia.org/ontology/gameEngine	the godfather: the game	1	the godfather: the <adj>	DT NNP : DT NN	DT NNP : DT <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.03737658674188998	7.052186177715092E-4	7.052186177715092E-4	ame	0.17391304347826086	0	1	4	0.38596491228070173
	mt	http://dbpedia.org/ontology/gameEngine	mt framework	16	<adj> framework	NNP NN	<adj> NN	0.38596491228070173	0.008333333333333333	0.0125	0.011283497884344146	0.011283497884344146	0.011283497884344146	mt	0.16666666666666663	1	0	1	0.38596491228070173
	ii	http://dbpedia.org/ontology/gameEngine	guitar hero ii	1	guitar hero <adj>	NN NN CD	NN NN <adj>	0.38596491228070173	0.008333333333333333	0.0125	0.010578279266572637	7.052186177715092E-4	7.052186177715092E-4	ii	0.1428571428571429	0	1	3	0.38596491228070173
