	anglican	http://dbpedia.org/ontology/religion	anglican church of canada	26	<adj> church of canada	JJ NN IN NNP	<adj> NNP IN NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.0017587055926837848	0.0010161410091061866	0.0010161410091061866	can	0.31999999999999995	1	0	1	0.5328376703841388
	united	http://dbpedia.org/ontology/religion	united church of christ	38	<adj> church of christ	NNP NNP IN NNP	<adj> NNP IN NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.0065658342126861296	0.001485129167155196	0.0016414585531715324	ted	0.26086956521739135	1	0	1	0.5328376703841388
	catholic	http://dbpedia.org/ontology/religion	catholic church	5508	<adj> church	NNP NNP	<adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.22288662211279164	0.21526556454449525	0.21929104623441592	lic	0.5333333333333333	1	0	1	0.5328376703841388
	apostolic	http://dbpedia.org/ontology/religion	armenian apostolic church	55	armenian <adj> church	JJ JJ NN	JJ <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.00218861140422871	0.0021495290577246257	0.0021495290577246257	lic	0.36	0	0	2	0.5328376703841388
	christian	http://dbpedia.org/ontology/religion	christian	954	<adj>	NNP	<adj>	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.04115371086880056	0.037284558564896236	0.0703091413608473	ian	1.0	1	1	1	0.5328376703841388
	orthodox	http://dbpedia.org/ontology/religion	romanian orthodox church	38	romanian <adj> church	JJ NN NN	NNP <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.04463203970766405	0.001485129167155196	0.001485129167155196	dox	0.33333333333333337	0	0	2	0.5328376703841388
	sunni	http://dbpedia.org/ontology/religion	sunni islam	772	<adj> islam	NNP NNP	<adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.030249736194161096	0.03017157150115293	0.030249736194161096	nni	0.4545454545454546	1	0	1	0.5328376703841388
	latter-day	http://dbpedia.org/ontology/religion	the church of jesus christ of latter-day saints	300	the church of jesus christ of <adj> saints	DT NN IN NNP NNP IN JJ NNS	DT NN IN NNP NNP IN <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.011763786297729315	0.011724703951225232	0.011724703951225232	day	0.21276595744680848	0	0	7	0.5328376703841388
	afrikaner	http://dbpedia.org/ontology/religion	afrikaner calvinism	1	<adj> calvinism	JJ NN	<adj> NN	0.5328376703841388	0.002967359050445104	0.006578947368421052	3.90823465040841E-5	3.90823465040841E-5	3.90823465040841E-5	ner	0.4736842105263158	1	0	1	0.5328376703841388
	hindu	http://dbpedia.org/ontology/religion	hindu	759	<adj>	NNP	<adj>	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.029663500996599836	0.029663500996599836	0.055575096728807595	ndu	1.0	1	1	1	0.5328376703841388
	methodist	http://dbpedia.org/ontology/religion	united methodist church	229	united <adj> church	NNP NNP NNP	NNP <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.009457927853988354	0.00894985734943526	0.008988939695939344	ist	0.3913043478260869	0	0	2	0.5328376703841388
	lutheran	http://dbpedia.org/ontology/religion	estonian evangelical lutheran church	2	estonian evangelical <adj> church	JJ JJ NNP NNP	JJ JJ <adj> NN	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.002227693750732794	7.81646930081682E-5	7.81646930081682E-5	ran	0.2222222222222222	0	0	3	0.5328376703841388
	muslim	http://dbpedia.org/ontology/religion	muslim	558	<adj>	JJ	<adj>	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.021807949349278932	0.021807949349278932	0.021807949349278932	lim	1.0	1	1	1	0.5328376703841388
	catholic	http://dbpedia.org/ontology/religion	old catholic church	6	old <adj> church	JJ NNP NNP	JJ <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.22288662211279164	2.3449407902450463E-4	3.126587720326728E-4	lic	0.42105263157894735	0	0	2	0.5328376703841388
	christian	http://dbpedia.org/ontology/religion	christian fundamentalism	4	<adj> fundamentalism	NNP NNP	<adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.04115371086880056	1.563293860163364E-4	1.563293860163364E-4	ian	0.375	1	0	1	0.5328376703841388
	orthodox	http://dbpedia.org/ontology/religion	greek orthodox church	132	greek <adj> church	JJ NN NN	JJ <adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.04463203970766405	0.005158869738539102	0.005354281471059523	dox	0.38095238095238093	0	0	2	0.5328376703841388
	united	http://dbpedia.org/ontology/religion	romanian church united with rome, greek-catholic	8	romanian church <adj> with rome, greek-catholic	NNP NNP NNP IN NNP , JJ	NNP NNP <adj> IN NNP , JJ	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.0065658342126861296	3.126587720326728E-4	3.126587720326728E-4	ted	0.125	0	0	3	0.5328376703841388
	united	http://dbpedia.org/ontology/religion	united church of canada	88	<adj> church of canada	NNP NNP IN NNP	<adj> NNP IN NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.0065658342126861296	0.003439246492359401	0.003439246492359401	ted	0.26086956521739135	1	0	1	0.5328376703841388
	congregational	http://dbpedia.org/ontology/religion	congregational church	179	<adj> church	JJ NN	<adj> NNP	0.5328376703841388	0.002967359050445104	0.006578947368421052	0.006995740024231055	0.006995740024231055	0.006995740024231055	nal	0.6666666666666667	1	0	1	0.5328376703841388
