	1	chrysler cirrus  1999  1	http://dbpedia.org/resource/Chrysler_Cirrus__1999__1	http://dbpedia.org/ontology/sales
	1	lexus es  sixth generation xv60  1  production by calendar year  1	http://dbpedia.org/resource/Lexus_ES__Sixth_generation_XV60__1__Production_by_calendar_year__1	http://dbpedia.org/ontology/sales
	1	mitsubishi 380  2005  1	http://dbpedia.org/resource/Mitsubishi_380__2005__1	http://dbpedia.org/ontology/sales
	1	citro\u00ebn c-crosser  2010  1	http://dbpedia.org/resource/Citro\u00EBn_C-Crosser__2010__1	http://dbpedia.org/ontology/sales
	1	cadillac sts  2007  1	http://dbpedia.org/resource/Cadillac_STS__2007__1	http://dbpedia.org/ontology/sales
	1	mitsubishi pajero mini  1995  1	http://dbpedia.org/resource/Mitsubishi_Pajero_Mini__1995__1	http://dbpedia.org/ontology/sales
	1	ford crown victoria  second generation  1  2001  1	http://dbpedia.org/resource/Ford_Crown_Victoria__Second_generation__1__2001__1	http://dbpedia.org/ontology/sales
	1	bmw 7 series  bmw 7-series f01/f02  1  2001  1	http://dbpedia.org/resource/BMW_7_Series__BMW_7-Series_F01/F02__1__2001__1	http://dbpedia.org/ontology/sales
	1	chevrolet suburban  gmt k2yc/g  1  2009  1	http://dbpedia.org/resource/Chevrolet_Suburban__GMT_K2YC/G__1__2009__1	http://dbpedia.org/ontology/sales
	2	mercedes-benz w110  first series190c/190dc  1  w110.110  2	http://dbpedia.org/resource/Mercedes-Benz_W110__First_Series190c/190Dc__1__W110.110__2	http://dbpedia.org/ontology/sales
	1	lincoln continental  fourth generation  1  967  1	http://dbpedia.org/resource/Lincoln_Continental__Fourth_generation__1__967__1	http://dbpedia.org/ontology/sales
	1	ford excursion  2000  1	http://dbpedia.org/resource/Ford_Excursion__2000__1	http://dbpedia.org/ontology/sales
	1	mercury sable  fourth generation d333  1  995  1	http://dbpedia.org/resource/Mercury_Sable__Fourth_generation_D333__1__995__1	http://dbpedia.org/ontology/sales
	1	mercury sable  fourth generation d333  1  992  1	http://dbpedia.org/resource/Mercury_Sable__Fourth_generation_D333__1__992__1	http://dbpedia.org/ontology/sales
	1	mitsubishi chariot  third generation ug  1  999  1	http://dbpedia.org/resource/Mitsubishi_Chariot__Third_generation_UG__1__999__1	http://dbpedia.org/ontology/sales
	1	mercedes-benz sl-class  sixth generation  1  2009  1	http://dbpedia.org/resource/Mercedes-Benz_SL-Class__Sixth_Generation__1__2009__1	http://dbpedia.org/ontology/sales
	1	mercury mountaineer  third generation  1  998  1	http://dbpedia.org/resource/Mercury_Mountaineer__Third_generation__1__998__1	http://dbpedia.org/ontology/sales
	1	toyota sequoia  second generation  1  2002  1	http://dbpedia.org/resource/Toyota_Sequoia__Second_generation__1__2002__1	http://dbpedia.org/ontology/sales
	1	citro\u00ebn c2  2009  1	http://dbpedia.org/resource/Citro\u00EBn_C2__2009__1	http://dbpedia.org/ontology/sales
	1	mercedes-benz m-class  w166  1  2005  1	http://dbpedia.org/resource/Mercedes-Benz_M-Class__W166__1__2005__1	http://dbpedia.org/ontology/sales
