	190	190	190.0	http://dbpedia.org/ontology/governmentElevation
	67	67	67.0	http://dbpedia.org/ontology/governmentElevation
	81	81	81.0	http://dbpedia.org/ontology/governmentElevation
	76	76	76.0	http://dbpedia.org/ontology/governmentElevation
	43	43	43.0	http://dbpedia.org/ontology/governmentElevation
	24	24	24.0	http://dbpedia.org/ontology/governmentElevation
	43	43	43.0	http://dbpedia.org/ontology/governmentElevation
	35	35	35.0	http://dbpedia.org/ontology/governmentElevation
	38	38	38.0	http://dbpedia.org/ontology/governmentElevation
	81	81	81.0	http://dbpedia.org/ontology/governmentElevation
	190	190	190.0	http://dbpedia.org/ontology/governmentElevation
	25	25	25.0	http://dbpedia.org/ontology/governmentElevation
	19	19	19.0	http://dbpedia.org/ontology/governmentElevation
	43	43	43.0	http://dbpedia.org/ontology/governmentElevation
	33	33	33.0	http://dbpedia.org/ontology/governmentElevation
	57	57	57.0	http://dbpedia.org/ontology/governmentElevation
	12	12	12.0	http://dbpedia.org/ontology/governmentElevation
	79	79	79.0	http://dbpedia.org/ontology/governmentElevation
	96	96	96.0	http://dbpedia.org/ontology/governmentElevation
	87	87	87.0	http://dbpedia.org/ontology/governmentElevation
