	47	47	47.0	http://dbpedia.org/ontology/depth
	130	130	130.0	http://dbpedia.org/ontology/depth
	47	47	47.0	http://dbpedia.org/ontology/depth
	58	58	58.0	http://dbpedia.org/ontology/depth
	52	52	52.0	http://dbpedia.org/ontology/depth
	52	52	52.0	http://dbpedia.org/ontology/depth
	21	21	21.0	http://dbpedia.org/ontology/depth
	59	59	59.0	http://dbpedia.org/ontology/depth
	97	97	97.0	http://dbpedia.org/ontology/depth
	46	46	46.0	http://dbpedia.org/ontology/depth
	100	100	100.0	http://dbpedia.org/ontology/depth
	32	32	32.0	http://dbpedia.org/ontology/depth
	68	68	68.0	http://dbpedia.org/ontology/depth
	33	33	33.0	http://dbpedia.org/ontology/depth
	42	42	42.0	http://dbpedia.org/ontology/depth
	53	53	53.0	http://dbpedia.org/ontology/depth
	190	190	190.0	http://dbpedia.org/ontology/depth
	8	8	8.0	http://dbpedia.org/ontology/depth
	45	45	45.0	http://dbpedia.org/ontology/depth
	9	9	9.0	http://dbpedia.org/ontology/depth
